Representative,Party,District,State,Start,End,Start_Year,End_Year,Duration,Duration_simple,Congress,Congress_Start,Congress_End,Incumbancy
Phil Sharp,Democratic,10th,Indiana,1975-01-03,1983-01-03,1975,1983,2922 days,8.005479452054795,96,1979,1981,4
Berkley Bedell,Democratic,6th,Iowa,1975-01-03,1987-01-03,1975,1987,4383 days,12.008219178082191,96,1979,1981,4
Chuck Grassley,Republican,3rd,Iowa,1975-01-03,1981-01-03,1975,1981,2192 days,6.005479452054795,96,1979,1981,4
Tom Harkin,Democratic,5th,Iowa,1975-01-03,1985-01-03,1975,1985,3653 days,10.008219178082191,96,1979,1981,4
Jim Leach,Republican,1st,Iowa,1977-01-03,2003-01-03,1977,2003,9496 days,26.016438356164382,96,1979,1981,2
Neal Smith,Democratic,4th,Iowa,1973-01-03,1995-01-03,1973,1995,8035 days,22.013698630136986,96,1979,1981,6
Tom Tauke,Republican,2nd,Iowa,1979-01-03,1991-01-03,1979,1991,4383 days,12.008219178082191,96,1979,1981,0
Tim Lee Carter,Republican,5th,Kentucky,1965-01-03,1981-01-03,1965,1981,5844 days,16.01095890410959,96,1979,1981,14
Larry Hopkins,Republican,6th,Kentucky,1979-01-03,1993-01-03,1979,1993,5114 days,14.01095890410959,96,1979,1981,0
Carroll Hubbard,Democratic,1st,Kentucky,1975-01-03,1993-01-03,1975,1993,6575 days,18.013698630136986,96,1979,1981,4
Romano L. Mazzoli,Democratic,3rd,Kentucky,1971-01-03,1995-01-03,1971,1995,8766 days,24.016438356164382,96,1979,1981,8
William Huston Natcher,Democratic,2nd,Kentucky,1953-08-01,1994-03-29,1953,1994,14850 days,40.68493150684932,96,1979,1981,26
Carl D. Perkins,Democratic,7th,Kentucky,1949-01-03,1984-08-03,1949,1984,12996 days,35.605479452054794,96,1979,1981,30
Gene Snyder,Republican,4th,Kentucky,1967-01-03,1987-01-03,1967,1987,7305 days,20.013698630136986,96,1979,1981,12
Lindy Boggs,Democratic,2nd,Louisiana,1973-03-20,1991-01-03,1973,1991,6498 days,17.802739726027397,96,1979,1981,6
John Breaux,Democratic,7th,Louisiana,1972-09-30,1987-01-03,1972,1987,5208 days,14.26849315068493,96,1979,1981,7
Jerry Huckaby,Democratic,5th,Louisiana,1977-01-03,1993-01-03,1977,1993,5844 days,16.01095890410959,96,1979,1981,2
Claude Leach,Democratic,4th,Louisiana,1979-01-03,1981-01-03,1979,1981,731 days,2.0027397260273974,96,1979,1981,0
Bob Livingston,Republican,1st,Louisiana,1977-08-27,1999-03-01,1977,1999,7856 days,21.523287671232875,96,1979,1981,2
Gillis W. Long,Democratic,8th,Louisiana,1973-01-03,1985-01-20,1973,1985,4400 days,12.054794520547945,96,1979,1981,6
Henson Moore,Republican,6th,Louisiana,1975-01-03,1987-01-03,1975,1987,4383 days,12.008219178082191,96,1979,1981,4
Michael D. Barnes,Democratic,8th,Maryland,1979-01-03,1987-01-03,1979,1987,2922 days,8.005479452054795,96,1979,1981,0
Robert Bauman,Republican,1st,Maryland,1973-08-21,1981-01-03,1973,1981,2692 days,7.375342465753425,96,1979,1981,6
Beverly Byron,Democratic,6th,Maryland,1979-01-03,1993-01-03,1979,1993,5114 days,14.01095890410959,96,1979,1981,0
Marjorie Holt,Republican,4th,Maryland,1973-01-03,1987-01-03,1973,1987,5113 days,14.008219178082191,96,1979,1981,6
Clarence Long,Democratic,2nd,Maryland,1963-01-03,1985-01-03,1963,1985,8036 days,22.016438356164382,96,1979,1981,16
Barbara Mikulski,Democratic,3rd,Maryland,1977-01-03,1987-01-03,1977,1987,3652 days,10.005479452054795,96,1979,1981,2
Parren Mitchell,Democratic,7th,Maryland,1971-01-03,1987-01-03,1971,1987,5844 days,16.01095890410959,96,1979,1981,8
Gladys Spellman,Democratic,5th,Maryland,1975-01-03,1981-01-03,1975,1981,2192 days,6.005479452054795,96,1979,1981,4
Edward Boland,Democratic,2nd,Massachusetts,1953-01-03,1989-01-03,1953,1989,13149 days,36.02465753424657,96,1979,1981,26
Silvio O. Conte,Republican,1st,Massachusetts,1959-01-03,1991-02-08,1959,1991,11724 days,32.12054794520548,96,1979,1981,20
Brian J. Donnelly,Democratic,11th,Massachusetts,1979-01-03,1993-01-03,1979,1993,5114 days,14.01095890410959,96,1979,1981,0
Robert Drinan,Democratic,4th,Massachusetts,1973-01-03,1981-01-03,1973,1981,2922 days,8.005479452054795,96,1979,1981,6
Joseph D. Early,Democratic,3rd,Massachusetts,1975-01-03,1993-01-03,1975,1993,6575 days,18.013698630136986,96,1979,1981,4
Margaret Heckler,Republican,10th,Massachusetts,1967-01-03,1983-01-03,1967,1983,5844 days,16.01095890410959,96,1979,1981,12
Ed Markey,Democratic,7th,Massachusetts,1976-11-02,2013-01-03,1976,2013,13211 days,36.1945205479452,96,1979,1981,3
Nicholas Mavroules,Democratic,6th,Massachusetts,1979-01-03,1993-01-03,1979,1993,5114 days,14.01095890410959,96,1979,1981,0
John Joseph Moakley,Democratic,9th,Massachusetts,1973-01-03,2001-05-28,1973,2001,10372 days,28.416438356164385,96,1979,1981,6
Tip O'Neill,Democratic,8th,Massachusetts,1963-01-03,1987-01-03,1963,1987,8766 days,24.016438356164382,96,1979,1981,16
James Shannon,Democratic,5th,Massachusetts,1979-01-03,1985-01-03,1979,1985,2192 days,6.005479452054795,96,1979,1981,0
Gerry Studds,Democratic,12th,Massachusetts,1973-01-03,1983-01-03,1973,1983,3652 days,10.005479452054795,96,1979,1981,6
Donald J. Albosta,Democratic,10th,Michigan,1979-01-03,1985-01-03,1979,1985,2192 days,6.005479452054795,96,1979,1981,0
James Blanchard,Democratic,18th,Michigan,1975-01-03,1983-01-01,1975,1983,2920 days,8.0,96,1979,1981,4
David E. Bonior,Democratic,12th,Michigan,1977-01-03,1993-01-03,1977,1993,5844 days,16.01095890410959,96,1979,1981,2
William M. Brodhead,Democratic,17th,Michigan,1975-01-03,1983-01-03,1975,1983,2922 days,8.005479452054795,96,1979,1981,4
William Broomfield,Republican,19th,Michigan,1973-01-03,1983-01-03,1973,1983,3652 days,10.005479452054795,96,1979,1981,6
Milton Robert Carr,Democratic,6th,Michigan,1975-01-03,1981-01-03,1975,1981,2192 days,6.005479452054795,96,1979,1981,4
John Conyers,Democratic,1st,Michigan,1965-01-03,1993-01-03,1965,1993,10227 days,28.019178082191782,96,1979,1981,14
Robert William Davis,Republican,11th,Michigan,1979-01-03,1993-01-03,1979,1993,5114 days,14.01095890410959,96,1979,1981,0
John Dingell,Democratic,16th,Michigan,1965-01-03,2003-01-03,1965,2003,13879 days,38.02465753424657,96,1979,1981,14
William D. Ford,Democratic,15th,Michigan,1965-01-03,1993-01-03,1965,1993,10227 days,28.019178082191782,96,1979,1981,14
Dale E. Kildee,Democratic,7th,Michigan,1977-01-03,1993-01-03,1977,1993,5844 days,16.01095890410959,96,1979,1981,2
Lucien N. Nedzi,Democratic,14th,Michigan,1965-01-03,1981-01-03,1965,1981,5844 days,16.01095890410959,96,1979,1981,14
Carl Pursell,Republican,2nd,Michigan,1977-01-03,1993-01-03,1977,1993,5844 days,16.01095890410959,96,1979,1981,2
Harold S. Sawyer,Republican,5th,Michigan,1977-01-03,1985-01-03,1977,1985,2922 days,8.005479452054795,96,1979,1981,2
David Stockman,Republican,4th,Michigan,1977-01-03,1981-01-21,1977,1981,1479 days,4.052054794520548,96,1979,1981,2
J. Bob Traxler,Democratic,8th,Michigan,1974-04-23,1993-01-03,1974,1993,6830 days,18.71232876712329,96,1979,1981,5
Guy Vander Jagt,Republican,9th,Michigan,1966-11-08,1993-01-03,1966,1993,9553 days,26.172602739726027,96,1979,1981,13
Howard Wolpe,Democratic,3rd,Michigan,1979-01-03,1993-01-03,1979,1993,5114 days,14.01095890410959,96,1979,1981,0
Arlen Erdahl,Republican,1st,Minnesota,1979-01-03,1983-01-03,1979,1983,1461 days,4.002739726027397,96,1979,1981,0
Bill Frenzel,Republican,3rd,Minnesota,1971-01-03,1991-01-03,1971,1991,7305 days,20.013698630136986,96,1979,1981,8
Tom Hagedorn,Republican,2nd,Minnesota,1975-01-03,1983-01-03,1975,1983,2922 days,8.005479452054795,96,1979,1981,4
Rick Nolan,Democratic–Farmer–Labor,6th,Minnesota,1975-01-03,1981-01-03,1975,1981,2192 days,6.005479452054795,96,1979,1981,4
Jim Oberstar,Democratic–Farmer–Labor,8th,Minnesota,1975-01-03,2011-01-03,1975,2011,13149 days,36.02465753424657,96,1979,1981,4
Martin Olav Sabo,Democratic–Farmer–Labor,5th,Minnesota,1979-01-03,2007-01-03,1979,2007,10227 days,28.019178082191782,96,1979,1981,0
Arlan Stangeland,Republican,7th,Minnesota,1977-02-22,1991-01-03,1977,1991,5063 days,13.871232876712329,96,1979,1981,2
Bruce Vento,Democratic–Farmer–Labor,4th,Minnesota,1977-01-03,2000-10-10,1977,2000,8681 days,23.783561643835615,96,1979,1981,2
David R. Bowen,Democratic,2nd,Mississippi,1973-01-03,1983-01-03,1973,1983,3652 days,10.005479452054795,96,1979,1981,6
Jon Hinson,Republican,4th,Mississippi,1979-01-03,1981-07-07,1979,1981,916 days,2.5095890410958903,96,1979,1981,0
Trent Lott,Republican,5th,Mississippi,1973-01-03,1989-01-03,1973,1989,5844 days,16.01095890410959,96,1979,1981,6
Sonny Montgomery,Democratic,3rd,Mississippi,1973-01-03,1997-01-03,1973,1997,8766 days,24.016438356164382,96,1979,1981,6
Jamie Whitten,Democratic,1st,Mississippi,1973-01-03,1995-01-03,1973,1995,8035 days,22.013698630136986,96,1979,1981,6
Richard Walker Bolling,Democratic,5th,Missouri,1949-01-03,1983-01-03,1949,1983,12418 days,34.02191780821918,96,1979,1981,30
Bill Burlison,Democratic,10th,Missouri,1969-01-03,1981-01-03,1969,1981,4383 days,12.008219178082191,96,1979,1981,10
Bill Clay,Democratic,1st,Missouri,1969-01-03,2001-01-03,1969,2001,11688 days,32.02191780821918,96,1979,1981,10
Earl Thomas Coleman,Republican,6th,Missouri,1976-11-02,1993-01-03,1976,1993,5906 days,16.18082191780822,96,1979,1981,3
Dick Gephardt,Democratic,3rd,Missouri,1977-01-03,2005-01-03,1977,2005,10227 days,28.019178082191782,96,1979,1981,2
Richard Howard Ichord Jr.,Democratic,8th,Missouri,1961-01-03,1981-01-03,1961,1981,7305 days,20.013698630136986,96,1979,1981,18
Ike Skelton,Democratic,4th,Missouri,1977-01-03,2011-01-03,1977,2011,12418 days,34.02191780821918,96,1979,1981,2
Gene Taylor,Republican,7th,Missouri,1973-01-03,1989-01-03,1973,1989,5844 days,16.01095890410959,96,1979,1981,6
Harold Volkmer,Democratic,9th,Missouri,1977-01-03,1997-01-03,1977,1997,7305 days,20.013698630136986,96,1979,1981,2
Robert A. Young,Democratic,2nd,Missouri,1977-01-03,1987-01-03,1977,1987,3652 days,10.005479452054795,96,1979,1981,2
Ron Marlenee,Republican,2nd,Montana,1977-01-03,1993-01-03,1977,1993,5844 days,16.01095890410959,96,1979,1981,2
Pat Williams,Democratic,1st,Montana,1979-01-03,1993-01-03,1979,1993,5114 days,14.01095890410959,96,1979,1981,0
Doug Bereuter,Republican,1st,Nebraska,1979-01-03,2004-08-31,1979,2004,9372 days,25.676712328767124,96,1979,1981,0
John Joseph Cavanaugh III,Democratic,2nd,Nebraska,1977-01-03,1981-01-03,1977,1981,1461 days,4.002739726027397,96,1979,1981,2
Virginia Smith,Republican,3rd,Nebraska,1975-01-03,1991-01-03,1975,1991,5844 days,16.01095890410959,96,1979,1981,4
James Colgate Cleveland,Republican,2nd,New_Hampshire,1963-01-03,1981-01-03,1963,1981,6575 days,18.013698630136986,96,1979,1981,16
Norman D'Amours,Democratic,1st,New_Hampshire,1975-01-03,1985-01-03,1975,1985,3653 days,10.008219178082191,96,1979,1981,4
James A. Courter,Republican,13th,New_Jersey,1979-01-01,1983-01-01,1979,1983,1461 days,4.002739726027397,96,1979,1981,0
Millicent H. Fenwick,Republican,5th,New_Jersey,1975-01-01,1983-01-01,1975,1983,2922 days,8.005479452054795,96,1979,1981,4
James J. Florio,Democratic,1st,New_Jersey,1975-01-01,1990-01-01,1975,1990,5479 days,15.01095890410959,96,1979,1981,4
Edwin B. Forsythe,Republican,6th,New_Jersey,1970-01-01,1983-01-01,1970,1983,4748 days,13.008219178082191,96,1979,1981,9
Frank J. Guarini Jr.,Democratic,14th,New_Jersey,1979-01-01,1993-01-01,1979,1993,5114 days,14.01095890410959,96,1979,1981,0
Harold C. Hollenbeck,Republican,9th,New_Jersey,1977-01-01,1983-01-01,1977,1983,2191 days,6.002739726027397,96,1979,1981,2
James J. Howard,Democratic,3rd,New_Jersey,1965-01-01,1988-01-01,1965,1988,8400 days,23.013698630136986,96,1979,1981,14
William J. Hughes,Democratic,2nd,New_Jersey,1975-01-01,1995-01-01,1975,1995,7305 days,20.013698630136986,96,1979,1981,4
Andrew Maguire,Democratic,7th,New_Jersey,1975-01-01,1981-01-01,1975,1981,2192 days,6.005479452054795,96,1979,1981,4
Joseph G. Minish,Democratic,11th,New_Jersey,1963-01-01,1985-01-01,1963,1985,8036 days,22.016438356164382,96,1979,1981,16
Edward J. Patten,Democratic,15th,New_Jersey,1963-01-01,1981-01-01,1963,1981,6575 days,18.013698630136986,96,1979,1981,16
Matthew J. Rinaldo,Republican,12th,New_Jersey,1973-01-01,1983-01-01,1973,1983,3652 days,10.005479452054795,96,1979,1981,6
Peter W. Rodino Jr.,Democratic,10th,New_Jersey,1949-01-01,1989-01-01,1949,1989,14610 days,40.02739726027397,96,1979,1981,30
Robert A. Roe,Democratic,8th,New_Jersey,1969-01-01,1993-01-01,1969,1993,8766 days,24.016438356164382,96,1979,1981,10
Manuel Lujan Jr.,Republican,1st,New_Mexico,1969-01-03,1989-01-03,1969,1989,7305 days,20.013698630136986,96,1979,1981,10
Joseph P. Addabbo,Democratic,7th,New_York,1963-01-03,1983-01-03,1963,1983,7305 days,20.013698630136986,96,1979,1981,16
Jerome Ambro,Democratic,3rd,New_York,1975-01-03,1981-01-03,1975,1981,2192 days,6.005479452054795,96,1979,1981,4
Mario Biaggi,Democratic,10th,New_York,1973-01-03,1983-01-03,1973,1983,3652 days,10.005479452054795,96,1979,1981,6
Jonathan Brewster Bingham,Democratic,22nd,New_York,1973-01-03,1983-01-03,1973,1983,3652 days,10.005479452054795,96,1979,1981,6
William Carney,Conservative,1st,New_York,1979-01-03,1985-10-07,1979,1985,2469 days,6.764383561643836,96,1979,1981,0
Shirley Chisholm,Democratic,12th,New_York,1969-01-03,1983-01-03,1969,1983,5113 days,14.008219178082191,96,1979,1981,10
Barber Conable,Republican,35th,New_York,1973-01-03,1983-01-03,1973,1983,3652 days,10.005479452054795,96,1979,1981,6
Thomas Downey,Democratic,2nd,New_York,1975-01-03,1993-01-03,1975,1993,6575 days,18.013698630136986,96,1979,1981,4
Geraldine Ferraro,Democratic,9th,New_York,1979-01-03,1985-01-03,1979,1985,2192 days,6.005479452054795,96,1979,1981,0
Hamilton Fish IV,Republican,25th,New_York,1973-01-03,1983-01-03,1973,1983,3652 days,10.005479452054795,96,1979,1981,6
Robert García,Democratic,21st,New_York,1978-02-21,1983-01-03,1978,1983,1777 days,4.868493150684931,96,1979,1981,1
Benjamin Gilman,Republican,26th,New_York,1973-01-03,1983-01-03,1973,1983,3652 days,10.005479452054795,96,1979,1981,6
Bill Green,Republican,18th,New_York,1978-02-14,1983-01-03,1978,1983,1784 days,4.887671232876713,96,1979,1981,1
James M. Hanley,Democratic,32nd,New_York,1973-01-03,1981-01-03,1973,1981,2922 days,8.005479452054795,96,1979,1981,6
Elizabeth Holtzman,Democratic,16th,New_York,1973-01-03,1981-01-03,1973,1981,2922 days,8.005479452054795,96,1979,1981,6
Frank Horton,Republican,34th,New_York,1973-01-03,1983-01-03,1973,1983,3652 days,10.005479452054795,96,1979,1981,6
Jack Kemp,Republican,38th,New_York,1973-01-03,1983-01-03,1973,1983,3652 days,10.005479452054795,96,1979,1981,6
John J. LaFalce,Democratic,36th,New_York,1975-01-03,1983-01-03,1975,1983,2922 days,8.005479452054795,96,1979,1981,4
Gary A. Lee,Republican,33rd,New_York,1979-01-03,1983-01-03,1979,1983,1461 days,4.002739726027397,96,1979,1981,0
Norman F. Lent,Republican,4th,New_York,1973-01-03,1993-01-03,1973,1993,7305 days,20.013698630136986,96,1979,1981,6
Stan Lundine,Democratic,39th,New_York,1976-03-02,1983-01-03,1976,1983,2498 days,6.843835616438356,96,1979,1981,3
Robert C. McEwen,Republican,30th,New_York,1973-01-03,1981-01-03,1973,1981,2922 days,8.005479452054795,96,1979,1981,6
Matthew F. McHugh,Democratic,27th,New_York,1975-01-03,1983-01-03,1975,1983,2922 days,8.005479452054795,96,1979,1981,4
Donald J. Mitchell,Republican,31st,New_York,1973-01-03,1983-01-03,1973,1983,3652 days,10.005479452054795,96,1979,1981,6
John M. Murphy,Democratic,17th,New_York,1973-01-03,1981-01-03,1973,1981,2922 days,8.005479452054795,96,1979,1981,6
Henry J. Nowak,Democratic,37th,New_York,1975-01-03,1983-01-03,1975,1983,2922 days,8.005479452054795,96,1979,1981,4
Richard Ottinger,Democratic,24th,New_York,1975-01-03,1983-01-03,1975,1983,2922 days,8.005479452054795,96,1979,1981,4
Peter A. Peyser,Democratic,23rd,New_York,1979-01-03,1983-01-03,1979,1983,1461 days,4.002739726027397,96,1979,1981,0
Charles B. Rangel,Democratic,19th,New_York,1973-01-03,1983-01-03,1973,1983,3652 days,10.005479452054795,96,1979,1981,6
Fred Richmond,Democratic,14th,New_York,1975-01-03,1982-08-25,1975,1982,2791 days,7.646575342465753,96,1979,1981,4
Benjamin S. Rosenthal,Democratic,8th,New_York,1963-01-03,1983-01-03,1963,1983,7305 days,20.013698630136986,96,1979,1981,16
James H. Scheuer,Democratic,11th,New_York,1975-01-03,1983-01-03,1975,1983,2922 days,8.005479452054795,96,1979,1981,4
Stephen J. Solarz,Democratic,13th,New_York,1975-01-03,1993-01-03,1975,1993,6575 days,18.013698630136986,96,1979,1981,4
Gerald B.H. Solomon,Republican,29th,New_York,1979-01-03,1983-01-03,1979,1983,1461 days,4.002739726027397,96,1979,1981,0
Samuel S. Stratton,Democratic,28th,New_York,1973-01-03,1983-01-03,1973,1983,3652 days,10.005479452054795,96,1979,1981,6
Theodore S. Weiss,Democratic,20th,New_York,1977-01-03,1983-01-03,1977,1983,2191 days,6.002739726027397,96,1979,1981,2
Lester L. Wolff,Democratic,6th,New_York,1973-01-03,1981-01-03,1973,1981,2922 days,8.005479452054795,96,1979,1981,6
John W. Wydler,Republican,5th,New_York,1973-01-03,1981-01-03,1973,1981,2922 days,8.005479452054795,96,1979,1981,6
Leo C. Zeferetti,Democratic,15th,New_York,1975-01-03,1983-01-03,1975,1983,2922 days,8.005479452054795,96,1979,1981,4
Ike F. Andrews,Democratic,4th,North_Carolina,1973-01-03,1985-01-03,1973,1985,4383 days,12.008219178082191,96,1979,1981,6
James T. Broyhill,Republican,10th,North_Carolina,1969-01-03,1986-07-14,1969,1986,6401 days,17.53698630136986,96,1979,1981,10
Lawrence H. Fountain,Democratic,2nd,North_Carolina,1953-01-03,1983-01-03,1953,1983,10957 days,30.019178082191782,96,1979,1981,26
V. Lamar Gudger,Democratic,11th,North_Carolina,1977-01-03,1981-01-03,1977,1981,1461 days,4.002739726027397,96,1979,1981,2
Bill Hefner,Democratic,8th,North_Carolina,1975-01-03,1999-01-03,1975,1999,8766 days,24.016438356164382,96,1979,1981,4
Walter B. Jones Sr,Democratic,1st,North_Carolina,1966-02-05,1992-09-15,1966,1992,9719 days,26.627397260273973,96,1979,1981,13
James G. Martin,Republican,9th,North_Carolina,1973-01-03,1985-01-03,1973,1985,4383 days,12.008219178082191,96,1979,1981,6
Stephen L. Neal,Democratic,5th,North_Carolina,1975-01-03,1995-01-03,1975,1995,7305 days,20.013698630136986,96,1979,1981,4
Lunsford R. Preyer,Democratic,6th,North_Carolina,1969-01-03,1981-01-03,1969,1981,4383 days,12.008219178082191,96,1979,1981,10
Charlie Rose,Democratic,7th,North_Carolina,1973-01-03,1997-01-03,1973,1997,8766 days,24.016438356164382,96,1979,1981,6
Charles O. Whitley,Democratic,3rd,North_Carolina,1977-01-03,1986-12-31,1977,1986,3649 days,9.997260273972604,96,1979,1981,2
Mark Andrews,Republican,At-large,North_Dakota,1973-01-03,1981-01-03,1973,1981,2922 days,8.005479452054795,96,1979,1981,6
Douglas Applegate,Democratic,18th,Ohio,1977-01-03,1995-01-03,1977,1995,6574 days,18.01095890410959,96,1979,1981,2
John M. Ashbrook,Republican,17th,Ohio,1961-01-03,1982-04-24,1961,1982,7781 days,21.317808219178083,96,1979,1981,18
Thomas W. L. Ashley,Democratic,9th,Ohio,1955-01-03,1981-01-03,1955,1981,9497 days,26.019178082191782,96,1979,1981,24
Bud Brown,Republican,7th,Ohio,1965-11-02,1983-01-03,1965,1983,6271 days,17.18082191780822,96,1979,1981,14
Samuel L. Devine,Republican,12th,Ohio,1959-01-03,1981-01-03,1959,1981,8036 days,22.016438356164382,96,1979,1981,20
Bill Gradison,Republican,1st,Ohio,1975-01-03,1983-01-03,1975,1983,2922 days,8.005479452054795,96,1979,1981,4
Tennyson Guyer,Republican,4th,Ohio,1973-01-03,1981-04-12,1973,1981,3021 days,8.276712328767124,96,1979,1981,6
Tony P. Hall,Democratic,3rd,Ohio,1979-01-03,2002-09-09,1979,2002,8650 days,23.698630136986303,96,1979,1981,0
Bill Harsha,Republican,6th,Ohio,1961-01-03,1981-01-03,1961,1981,7305 days,20.013698630136986,96,1979,1981,18
Tom Kindness,Republican,8th,Ohio,1975-01-03,1987-01-03,1975,1987,4383 days,12.008219178082191,96,1979,1981,4
Del Latta,Republican,5th,Ohio,1959-01-03,1989-01-03,1959,1989,10958 days,30.02191780821918,96,1979,1981,20
